TransactionID,CustomerID,OrderDate,Amount,Email
T101204,CUST00044,26-10-2024,163.07,cust00044@example.com
T100999,CUST00035,09-06-2024,155.82,cust00035@example.com
T101174,CUST00042,14-07-2024,187.78,cust00042@example.com
T103058,CUST00216,11-04-2024,34.54,cust00216@example.com
T100076,CUST00003,14-07-2024,211.12,cust00003@example.com
T101263,CUST00047,11-11-2024,76.42,cust00047@example.com
T100879,CUST00031,15-08-2024,117.74,cust00031@example.com
T103155,CUST00239,31-10-2023,44.22,cust00239@example.com
T102963,CUST00204,13-10-2024,88.71,cust00204@example.com
T100705,CUST00024,04-08-2024,248.29,cust00024@example.com
T101074,CUST00038,14-10-2024,247.91,cust00038@example.com
T101628,CUST00074,19-04-2024,47.73,cust00074@example.com
T101572,CUST00070,12-08-2024,98.95,cust00070@example.com
T102698,CUST00163,12-08-2024,76.44,cust00163@example.com
T100805,CUST00029,21-08-2024,205.2,cust00029@example.com
T103042,CUST00214,14-06-2024,36.8,cust00214@example.com
T100279,CUST00009,17-03-2024,215.28,cust00009@example.com
T102155,CUST00111,02-09-2024,59.19,cust00111@example.com
T101706,CUST00079,29-04-2024,91.27,cust00079@example.com
T101454,CUST00061,11-07-2024,42.43,cust00061@example.com
T101525,CUST00067,13-04-2024,60.54,cust00067@example.com
T102500,CUST00134,09-03-2024,106.2,cust00134@example.com
T102333,CUST00123,07-11-2024,94.93,cust00123@example.com
T100430,CUST00014,10-07-2024,104.31,cust00014@example.com
T102645,CUST00154,06-06-2024,51.6,cust00154@example.com
T103024,CUST00212,05-02-2024,33.4,cust00212@example.com
T100461,CUST00016,17-07-2024,190.37,cust00016@example.com
T103109,CUST00224,28-04-2024,66.8,cust00224@example.com
T102691,CUST00161,10-11-2023,65.71,cust00161@example.com
T102400,CUST00127,29-02-2024,67.25,cust00127@example.com
T100443,CUST00015,04-08-2024,143.01,cust00015@example.com
T100940,CUST00033,12-06-2024,126.59,cust00033@example.com
T102458,CUST00131,26-03-2024,79.11,cust00131@example.com
T103059,CUST00216,31-03-2024,87.09,cust00216@example.com
T101423,CUST00058,28-03-2024,51.87,cust00058@example.com
T103096,CUST00222,11-05-2024,88.62,cust00222@example.com
T100642,CUST00022,12-07-2024,115.95,cust00022@example.com
T101192,CUST00043,18-07-2024,138.8,cust00043@example.com
T100742,CUST00026,18-11-2024,207.09,cust00026@example.com
T100997,CUST00035,21-07-2024,103.26,cust00035@example.com
T100309,CUST00010,23-07-2024,126.04,cust00010@example.com
T102590,CUST00144,19-03-2024,79.35,cust00144@example.com
T100257,CUST00008,17-07-2024,198.33,cust00008@example.com
T100298,CUST00010,09-04-2024,185.89,cust00010@example.com
T100567,CUST00019,20-09-2024,154.37,cust00019@example.com
T102868,CUST00189,19-05-2024,46.95,cust00189@example.com
T100433,CUST00014,16-03-2024,97.19,cust00014@example.com
T100238,CUST00008,24-11-2024,189.73,cust00008@example.com
T100184,CUST00006,14-12-2024,123.85,cust00006@example.com
T100192,CUST00007,19-10-2024,233.07,cust00007@example.com
T101213,CUST00044,03-07-2024,215.12,cust00044@example.com
T101746,CUST00082,26-11-2024,41.54,cust00082@example.com
T102668,CUST00158,22-01-2024,74.32,cust00158@example.com
T100026,CUST00001,10-07-2024,113.94,cust00001@example.com
T100680,CUST00023,26-07-2024,218.9,cust00023@example.com
T101748,CUST00082,07-03-2024,100.82,cust00082@example.com
T102576,CUST00142,02-03-2024,88.74,cust00142@example.com
T100144,CUST00005,20-06-2024,128.42,cust00005@example.com
T100152,CUST00005,18-04-2024,104.63,cust00005@example.com
T102398,CUST00127,04-05-2024,91.67,cust00127@example.com
T102335,CUST00123,10-07-2024,70.71,cust00123@example.com
T103012,CUST00210,09-06-2024,48.41,cust00210@example.com
T100729,CUST00025,29-09-2024,107.82,cust00025@example.com
T100903,CUST00032,23-03-2024,179.12,cust00032@example.com
T102580,CUST00142,28-03-2024,37.38,cust00142@example.com
T100411,CUST00014,04-03-2024,241.51,cust00014@example.com
T102464,CUST00131,15-05-2024,89.65,cust00131@example.com
T102893,CUST00192,30-04-2024,69.28,cust00192@example.com
T100256,CUST00008,23-11-2024,239.15,cust00008@example.com
T101538,CUST00068,30-10-2024,54.52,cust00068@example.com
T102606,CUST00147,27-03-2024,32.81,cust00147@example.com
T102364,CUST00125,02-06-2024,86.18,cust00125@example.com
T101801,CUST00086,28-02-2024,99,cust00086@example.com
T101864,CUST00091,09-05-2024,118.77,cust00091@example.com
T100952,CUST00033,07-09-2024,109.81,cust00033@example.com
T102344,CUST00124,05-06-2024,115.34,cust00124@example.com
T102494,CUST00133,02-03-2024,80.9,cust00133@example.com
T101608,CUST00073,12-06-2024,58.7,cust00073@example.com
T100557,CUST00019,18-10-2024,84.89,cust00019@example.com
T101080,CUST00039,31-03-2024,213.68,cust00039@example.com
T102499,CUST00134,30-11-2024,72.61,cust00134@example.com
T100178,CUST00006,09-09-2024,239.24,cust00006@example.com
T101652,CUST00075,21-11-2024,61.05,cust00075@example.com
T102138,CUST00110,03-06-2024,54.99,cust00110@example.com
T102986,CUST00207,08-04-2024,33.1,cust00207@example.com
T101374,CUST00055,01-05-2024,59.78,cust00055@example.com
T101582,CUST00071,01-09-2024,87.56,cust00071@example.com
T101860,CUST00091,30-11-2024,102.12,cust00091@example.com
T102309,CUST00122,09-08-2024,67.62,cust00122@example.com
T103053,CUST00215,19-08-2024,47.25,cust00215@example.com
T100051,CUST00002,17-11-2024,211.77,cust00002@example.com
T102614,CUST00148,30-07-2024,48.98,cust00148@example.com
T101552,CUST00069,18-12-2024,105.54,cust00069@example.com
T102270,CUST00119,14-09-2024,48.34,cust00119@example.com
T100014,CUST00001,17-04-2024,110.91,cust00001@example.com
T100594,CUST00020,03-05-2024,232.45,cust00020@example.com
T100173,CUST00006,28-11-2024,118.5,cust00006@example.com
T102529,CUST00136,23-05-2024,89.87,cust00136@example.com
T101871,CUST00092,30-11-2024,57.08,cust00092@example.com
T100432,CUST00014,26-07-2024,185.1,cust00014@example.com
T100495,CUST00017,11-05-2024,140.07,cust00017@example.com
T100174,CUST00006,10-07-2024,189.68,cust00006@example.com
T100867,CUST00030,25-07-2024,110.93,cust00030@example.com
T100044,CUST00002,25-06-2024,123.99,cust00002@example.com
T101424,CUST00059,15-03-2024,118.93,cust00059@example.com
T100932,CUST00032,29-03-2024,247.35,cust00032@example.com
T102788,CUST00177,12-02-2024,87.09,cust00177@example.com
T103200,CUST00257,14-04-2024,39.9,cust00257@example.com
T101940,CUST00096,10-02-2024,44.68,cust00096@example.com
T100299,CUST00010,11-08-2024,94.51,cust00010@example.com
T103153,CUST00238,26-09-2023,34.24,cust00238@example.com
T100759,CUST00026,14-09-2024,214.06,cust00026@example.com
T102091,CUST00106,22-03-2024,117.16,cust00106@example.com
T101447,CUST00061,10-09-2024,107.05,cust00061@example.com
T100063,CUST00003,26-09-2024,140.65,cust00003@example.com
T100331,CUST00011,29-05-2024,208.83,cust00011@example.com
T103138,CUST00232,22-10-2023,38.47,cust00232@example.com
T101842,CUST00090,08-06-2024,75.15,cust00090@example.com
T102983,CUST00207,22-06-2024,79.03,cust00207@example.com
T100871,CUST00031,08-09-2024,126.03,cust00031@example.com
T100254,CUST00008,03-03-2024,108.81,cust00008@example.com
T103245,CUST00273,03-06-2024,22.73,cust00273@example.com
T100289,CUST00009,31-07-2024,180.44,cust00009@example.com
T101187,CUST00043,05-07-2024,91.53,cust00043@example.com
T103281,CUST00287,06-10-2023,23.25,cust00287@example.com
T100124,CUST00005,04-05-2024,118.75,cust00005@example.com
T101211,CUST00044,30-10-2024,156.74,cust00044@example.com
T100263,CUST00008,28-03-2024,168.12,cust00008@example.com
T100511,CUST00017,14-11-2024,151.1,cust00017@example.com
T103229,CUST00268,07-11-2023,25.01,cust00268@example.com
T101173,CUST00042,22-03-2024,124.17,cust00042@example.com
T100765,CUST00026,24-03-2024,176.88,cust00026@example.com
T100332,CUST00011,12-08-2024,82.45,cust00011@example.com
T100810,CUST00029,02-03-2024,247.42,cust00029@example.com
T100450,CUST00015,16-05-2024,212.11,cust00015@example.com
T100621,CUST00021,26-03-2024,115.59,cust00021@example.com
T100807,CUST00029,11-11-2024,237.35,cust00029@example.com
T103198,CUST00257,06-02-2024,19.62,cust00257@example.com
T102230,CUST00117,27-06-2024,99.46,cust00117@example.com
T102874,CUST00189,20-04-2024,76.82,cust00189@example.com
T100889,CUST00031,16-04-2024,121.34,cust00031@example.com
T101397,CUST00056,15-06-2024,59.9,cust00056@example.com
T100120,CUST00005,26-10-2024,217.26,cust00005@example.com
T102262,CUST00119,20-02-2024,111.4,cust00119@example.com
T101089,CUST00039,02-06-2024,119.38,cust00039@example.com
T101052,CUST00037,14-11-2024,239.64,cust00037@example.com
T100438,CUST00014,26-09-2024,200.06,cust00014@example.com
T102948,CUST00201,29-08-2024,52.16,cust00201@example.com
T103008,CUST00209,03-05-2024,70.44,cust00209@example.com
T101023,CUST00036,27-07-2024,245.08,cust00036@example.com
T101132,CUST00041,11-12-2024,93.78,cust00041@example.com
T101752,CUST00083,13-07-2024,40.97,cust00083@example.com
T100109,CUST00004,13-06-2024,93.09,cust00004@example.com
T101749,CUST00082,16-07-2024,50.97,cust00082@example.com
T102242,CUST00118,14-09-2024,86.62,cust00118@example.com
T100214,CUST00007,18-09-2024,201.07,cust00007@example.com
T102688,CUST00161,08-04-2024,59.57,cust00161@example.com
T103250,CUST00275,10-08-2023,38.96,cust00275@example.com
T101270,CUST00048,13-07-2024,95.6,cust00048@example.com
T102989,CUST00207,30-11-2023,81.76,cust00207@example.com
T103034,CUST00213,08-06-2024,46.67,cust00213@example.com
T102566,CUST00141,04-04-2024,43.94,cust00141@example.com
T102148,CUST00111,14-07-2024,79.54,cust00111@example.com
T101468,CUST00062,04-05-2024,109.66,cust00062@example.com
T102299,CUST00121,16-03-2024,67.11,cust00121@example.com
T101426,CUST00059,21-11-2024,40.4,cust00059@example.com
T100812,CUST00029,12-08-2024,101.19,cust00029@example.com
T102958,CUST00203,26-03-2024,46.44,cust00203@example.com
T100045,CUST00002,07-03-2024,192.63,cust00002@example.com
T102678,CUST00160,06-08-2024,36.69,cust00160@example.com
T100218,CUST00007,15-10-2024,190.44,cust00007@example.com
T101511,CUST00066,31-08-2024,97.45,cust00066@example.com
T101018,CUST00036,26-09-2024,235.63,cust00036@example.com
T102328,CUST00123,05-08-2024,90.91,cust00123@example.com
T101784,CUST00084,05-05-2024,92.75,cust00084@example.com
T101551,CUST00069,19-08-2024,88.13,cust00069@example.com
T103161,CUST00242,24-07-2023,15.99,cust00242@example.com
T100251,CUST00008,26-07-2024,145.47,cust00008@example.com
T100905,CUST00032,30-06-2024,231.75,cust00032@example.com
T100554,CUST00019,29-05-2024,229.03,cust00019@example.com
T102894,CUST00192,16-11-2023,39.1,cust00192@example.com
T100631,CUST00021,16-05-2024,232.19,cust00021@example.com
T102974,CUST00206,03-01-2024,53.06,cust00206@example.com
T100393,CUST00013,12-04-2024,211.99,cust00013@example.com
T100578,CUST00019,21-05-2024,163.66,cust00019@example.com
T101073,CUST00038,26-10-2024,83.04,cust00038@example.com
T100507,CUST00017,19-04-2024,219.83,cust00017@example.com
T100907,CUST00032,16-03-2024,138.11,cust00032@example.com
T102795,CUST00178,04-11-2023,65.61,cust00178@example.com
T102394,CUST00127,19-10-2024,111.21,cust00127@example.com
T102290,CUST00121,28-03-2024,88.86,cust00121@example.com
T102930,CUST00199,12-05-2024,65.44,cust00199@example.com
T103013,CUST00210,01-10-2024,51.18,cust00210@example.com
T101298,CUST00050,12-03-2024,90.91,cust00050@example.com
T101231,CUST00045,07-09-2024,119.09,cust00045@example.com
T100000,CUST00001,19-12-2024,143.67,cust00001@example.com
T100610,CUST00021,14-06-2024,86.68,cust00021@example.com
T101650,CUST00075,30-07-2024,42.89,cust00075@example.com
T103187,CUST00252,20-02-2023,30.92,cust00252@example.com
T100457,CUST00015,09-04-2024,159.67,cust00015@example.com
T101103,CUST00039,28-03-2024,237.72,cust00039@example.com
T100506,CUST00017,01-04-2024,234.86,cust00017@example.com
T102329,CUST00123,14-08-2024,44.09,cust00123@example.com
T101926,CUST00096,31-05-2024,87.06,cust00096@example.com
T100211,CUST00007,05-07-2024,197.62,cust00007@example.com
T100538,CUST00018,26-04-2024,156.59,cust00018@example.com
T100346,CUST00011,16-10-2024,187.97,cust00011@example.com
T100270,CUST00009,08-06-2024,217.59,cust00009@example.com
T100912,CUST00032,18-09-2024,186.11,cust00032@example.com
T103260,CUST00279,20-11-2023,24.19,cust00279@example.com
T101517,CUST00066,25-07-2024,111.84,cust00066@example.com
T100612,CUST00021,13-09-2024,186.74,cust00021@example.com
T100654,CUST00022,11-07-2024,153.38,cust00022@example.com
T100149,CUST00005,07-03-2024,127.37,cust00005@example.com
T100962,CUST00034,04-08-2024,121.71,cust00034@example.com
T102793,CUST00178,24-06-2024,45.57,cust00178@example.com
T102097,CUST00107,15-10-2024,90.77,cust00107@example.com
T100976,CUST00034,31-08-2024,181.16,cust00034@example.com
T102507,CUST00134,12-08-2024,75.13,cust00134@example.com
T102028,CUST00103,30-06-2024,60.52,cust00103@example.com
T102108,CUST00108,28-02-2024,62.15,cust00108@example.com
T100033,CUST00001,20-06-2024,241.31,cust00001@example.com
T100179,CUST00006,27-12-2024,103.38,cust00006@example.com
T101830,CUST00089,08-05-2024,118.4,cust00089@example.com
T101472,CUST00063,22-04-2024,110.28,cust00063@example.com
T103106,CUST00223,03-12-2023,73.41,cust00223@example.com
T100798,CUST00028,10-04-2024,198.43,cust00028@example.com
T103240,CUST00271,04-07-2023,33.71,cust00271@example.com
T103111,CUST00224,03-01-2024,44.52,cust00224@example.com
T102467,CUST00132,14-09-2024,43.16,cust00132@example.com
T102408,CUST00127,02-03-2024,119.04,cust00127@example.com
T102034,CUST00103,06-07-2024,88.68,cust00103@example.com
T100785,CUST00028,11-10-2024,234.44,cust00028@example.com
T101775,CUST00084,04-10-2024,65.23,cust00084@example.com
T100605,CUST00021,29-10-2024,158.33,cust00021@example.com
T102092,CUST00107,26-04-2024,56.3,cust00107@example.com
T101894,CUST00093,22-03-2024,84.41,cust00093@example.com
T101361,CUST00054,01-11-2024,56.85,cust00054@example.com
T102980,CUST00206,27-05-2024,56.26,cust00206@example.com
T100756,CUST00026,01-12-2024,185.41,cust00026@example.com
T101055,CUST00038,22-10-2024,139.62,cust00038@example.com
T101429,CUST00059,30-08-2024,109.43,cust00059@example.com
T102732,CUST00168,12-07-2024,33.47,cust00168@example.com
T100188,CUST00006,31-08-2024,170.04,cust00006@example.com
T101951,CUST00097,24-05-2024,57.65,cust00097@example.com
T101385,CUST00056,27-10-2024,66.02,cust00056@example.com
T101497,CUST00065,19-11-2024,77.08,cust00065@example.com
T100727,CUST00025,21-05-2024,215.2,cust00025@example.com
T103235,CUST00270,26-12-2023,25.54,cust00270@example.com
T100564,CUST00019,17-05-2024,139.6,cust00019@example.com
T102064,CUST00105,06-05-2024,44.16,cust00105@example.com
T101475,CUST00063,02-11-2024,93.41,cust00063@example.com
T102057,CUST00104,28-02-2024,72.94,cust00104@example.com
T100324,CUST00011,18-09-2024,242.33,cust00011@example.com
T100442,CUST00014,19-03-2024,143.63,cust00014@example.com
T100712,CUST00025,03-04-2024,160.17,cust00025@example.com
T100246,CUST00008,22-05-2024,152.79,cust00008@example.com
T100058,CUST00002,05-10-2024,87.69,cust00002@example.com
T103272,CUST00283,30-01-2024,47.55,cust00283@example.com
T101487,CUST00064,05-06-2024,95.64,cust00064@example.com
T102595,CUST00145,13-06-2024,76.52,cust00145@example.com
T102717,CUST00165,18-06-2024,88.45,cust00165@example.com
T102865,CUST00188,18-09-2024,64.81,cust00188@example.com
T100157,CUST00005,23-04-2024,209.48,cust00005@example.com
T102815,CUST00180,06-07-2024,76.3,cust00180@example.com
T102287,CUST00121,11-03-2024,66.51,cust00121@example.com
T103018,CUST00211,07-07-2024,34.1,cust00211@example.com
T101029,CUST00036,16-11-2024,220.92,cust00036@example.com
T100676,CUST00023,01-08-2024,99.05,cust00023@example.com
T102272,CUST00119,20-10-2024,79.01,cust00119@example.com
T101886,CUST00093,26-09-2024,40.75,cust00093@example.com
T100596,CUST00020,18-03-2024,193.48,cust00020@example.com
T101612,CUST00073,22-04-2024,82.64,cust00073@example.com
T103021,CUST00211,13-04-2024,55.97,cust00211@example.com
T102009,CUST00101,30-08-2024,79.01,cust00101@example.com
T101071,CUST00038,23-07-2024,119.71,cust00038@example.com
T100274,CUST00009,10-03-2024,166.93,cust00009@example.com
T100942,CUST00033,17-07-2024,190.74,cust00033@example.com
T103169,CUST00244,21-06-2023,33.44,cust00244@example.com
T101210,CUST00044,16-07-2024,152.45,cust00044@example.com
T102670,CUST00158,03-01-2024,68.69,cust00158@example.com
T102475,CUST00133,21-03-2024,109.6,cust00133@example.com
T100175,CUST00006,20-12-2024,109.64,cust00006@example.com
T103014,CUST00211,26-02-2024,67.28,cust00211@example.com
T100862,CUST00030,27-04-2024,169.15,cust00030@example.com
T100670,CUST00023,28-08-2024,109.47,cust00023@example.com
T101432,CUST00059,27-03-2024,79.11,cust00059@example.com
T101691,CUST00077,18-02-2024,80.21,cust00077@example.com
T101295,CUST00049,10-09-2024,56.01,cust00049@example.com
T100416,CUST00014,24-12-2024,129.85,cust00014@example.com
T101779,CUST00084,24-09-2024,107.27,cust00084@example.com
T101744,CUST00082,23-02-2024,73.29,cust00082@example.com
T102269,CUST00119,26-04-2024,80.99,cust00119@example.com
T100736,CUST00026,11-03-2024,146.72,cust00026@example.com
T101859,CUST00091,09-04-2024,98.28,cust00091@example.com
T101721,CUST00080,06-07-2024,49.71,cust00080@example.com
T100485,CUST00016,29-04-2024,233.2,cust00016@example.com
T101713,CUST00079,18-10-2024,76.78,cust00079@example.com
T101613,CUST00073,02-09-2024,65.95,cust00073@example.com
T101563,CUST00070,26-08-2024,61.98,cust00070@example.com
T102407,CUST00127,12-06-2024,57.43,cust00127@example.com
T100315,CUST00011,18-08-2024,198.32,cust00011@example.com
T101032,CUST00036,03-06-2024,119.1,cust00036@example.com
T102753,CUST00173,12-06-2024,50.71,cust00173@example.com
T101536,CUST00068,13-05-2024,54.49,cust00068@example.com
T102672,CUST00159,24-12-2023,72.79,cust00159@example.com
T101578,CUST00071,04-03-2024,88.57,cust00071@example.com
T102586,CUST00144,11-04-2024,34.31,cust00144@example.com
T101883,CUST00093,01-05-2024,100.89,cust00093@example.com
T102647,CUST00154,03-05-2024,60.02,cust00154@example.com
T101861,CUST00091,03-06-2024,92.49,cust00091@example.com
T101577,CUST00071,18-05-2024,91.36,cust00071@example.com
T101258,CUST00047,20-02-2024,45.14,cust00047@example.com
T102293,CUST00121,17-10-2024,81.33,cust00121@example.com
T100296,CUST00009,10-11-2024,210.9,cust00009@example.com
T101831,CUST00089,18-05-2024,88.15,cust00089@example.com
